Name,Price,Location,Type,Foundation,Misc,Bedrooms,Lofts,Bathrooms,Size,Length,Width,Days on site,Number of views,Times dreamlisted,Link
Tumbleweed Tiny House Shell,50000,"Jeffersonville, Indiana, United States",Tiny House,Mobile,Square Feet,2,0,1.0,283,,,,39399.0,61.0,https://tinyhouselistings.com/listings/jeffersonville-in-12-tumbleweed-tiny-house
"Apollo '79, DB 3000 ""The Don Draper"" tiny house on wheels)",29995,"Bend, Oregon, United States",Tiny House,Mobile,Square Feet,1,0,1.0,300,,,,12161.0,21.0,https://tinyhouselistings.com/listings/bend-or-12-apollo-79-db-3000-the-don-draper-tiny-house-on-wheels
32 ft Tiny house,44850,"Houston, Texas, United States",Tiny House,Mobile,Square Feet,2,0,1.0,340,,,,40632.0,112.0,https://tinyhouselistings.com/listings/houston-tx-12-32-ft-tiny-house
Summer Drift cottage,49500,"Dadeville, Alabama, United States",Tiny House,Mobile,Square Feet,1,0,1.0,452,,,,15794.0,25.0,https://tinyhouselistings.com/listings/dadeville-alabama-usa-12-summer-drift-cottage
8 X 24 Tiny House loaded and ready LIKE NEW!!,34995,"Dallas, Texas, United States",Tiny House,Mobile,Used,2,2,1.0,330,,,,106310.0,408.0,https://tinyhouselistings.com/listings/dallas-tx-12-8-x-24-tiny-house-loaded-and-ready-like-new
BIGHEART Tiny House DIY & Complete,13999,"Rutledge, Georgia, United States",Tiny House,Mobile,Square Feet,0,1,1.0,208,,,,71298.0,254.0,https://tinyhouselistings.com/listings/rutledge-ga-bigheart-tiny-house-diy
Very nice 20x10 tiny house on wheels,14500,"Kosciusko, Mississippi, United States",Tiny House,Mobile,Square Feet,0,1,1.0,200,,,,18155.0,122.0,https://tinyhouselistings.com/listings/kosciusko-ms-12-very-nice-20x10-tiny-house-on-wheels
Tiny House Shell,10000,"Hot Springs, Arkansas, United States",Tiny House,Mobile,Square Feet,2,0,1.0,284,,,,7706.0,20.0,https://tinyhouselistings.com/listings/hot-springs-arkansas-12-tiny-house-shell
Beautiful tiny home on wheels,43000,"West Milton, Ohio, United States",Tiny House,Mobile,Square Feet,2,0,1.0,317,,,,57658.0,379.0,https://tinyhouselistings.com/listings/west-milton-ohio-12-beautiful-tiny-home-on-wheels
Adorable cottage style tiny home,29500,"Bremerton, Washington, United States",Tiny House,Mobile,Square Feet,1,0,1.0,240,,,,52406.0,86.0,https://tinyhouselistings.com/listings/olympia-wa-12-adorable-cottage-style-tiny-home
Custom 44' Tiny House,45000,", Ohio, United States",Tiny House,Mobile,Square Feet,1,0,1.0,352,,,,39988.0,80.0,https://tinyhouselistings.com/listings/ohio-12-custom-44-tiny-house
Tiny lake house,50000,"Soso, Mississippi, United States",Tiny House,Mobile,Square Feet,0,1,1.0,272,,,,14631.0,83.0,https://tinyhouselistings.com/listings/soso-ms-12-tiny-lake-house
Custom Tiny House On Wheels,37500,"Bryn Athyn, Pennsylvania, United States",Tiny House,Mobile,Square Feet,0,1,1.0,220,,,,40132.0,99.0,https://tinyhouselistings.com/listings/huntingdon-valley-pa-12-custom-tiny-house-on-wheels
Tinyhaus,50000,"Sand Lake, Michigan, United States",Tiny House,Mobile,Square Feet,1,0,1.0,320,,,,69426.0,254.0,https://tinyhouselistings.com/listings/sand-lake-michigan-12-tinyhaus
Frontier Community College Tiny House,40000,"Fairfield, Illinois, United States",Tiny House,Mobile,Square Feet,0,1,1.0,256,,,,19148.0,23.0,https://tinyhouselistings.com/listings/fairfield-il-12-frontier-community-college-tiny-house
Ready to live and sail!,7000,"Grand Rapids, Michigan, United States",Tiny House,Mobile,Square Feet,1,0,0.0,260,,,,21296.0,44.0,https://tinyhouselistings.com/listings/grand-rapids-mi-12-ready-to-live-and-sail
Texas Tiny House (South Houston),42500,"Friendswood, Texas, United States",Tiny House,Mobile,Square Feet,0,1,1.0,240,,,,20134.0,123.0,https://tinyhouselistings.com/listings/friendswood-tx-12-texas-tiny-house-south-houston
1991 International Blue Bird School Bus,5000,"Toledo, Ohio, United States",Tiny House,Mobile,Square Feet,1,0,0.0,256,,,,29800.0,127.0,https://tinyhouselistings.com/listings/toledo-ohio-12-1991-international-blue-bird-school-bus
Great Start Up Little House 30' x 8.5',13000,", New York, United States",Tiny House,Mobile,Square Feet,0,1,0.0,255,,,,62178.0,86.0,https://tinyhouselistings.com/listings/queens-new-york-usa-12-great-start-up-little-house-30-x-8-5
Experience tiny living,24880,"Culpeper, Virginia, United States",Tiny House,Mobile,Used,0,1,1.0,200,17.0,8.0,,74290.0,763.0,https://tinyhouselistings.com/listings/culpeper-virginia-12-experience-tiny-living
Customizable Tiny House,22000,"Ridgeland, South Carolina, United States",Tiny House,Mobile,Square Feet,0,1,1.0,224,,,,45915.0,62.0,https://tinyhouselistings.com/listings/ridgeland-sc-12-customizable-tiny-house
"""Journey Wilder"" TINY HOUSE ON WHEELS ,vaulted ceilings ,natural light , north Texas",23000,"Granbury, Texas, United States",Tiny House,Mobile,Square Feet,1,0,1.0,256,,,,57558.0,271.0,https://tinyhouselistings.com/listings/granburytx-12-journey-wilder-tiny-house-on-wheels-volted-ceilings-natural-light-north-texas
1969 Dodge Wright Way RV,4000,"Menifee, California, United States",RV,Mobile,Square Feet,1,0,1.0,288,,,,29894.0,100.0,https://tinyhouselistings.com/listings/sun-city-california-riverside-county-12-1969-dodge-wright-way-rv
Functional Tiny House,44000,"Opp, Alabama, United States",Tiny House,Mobile,Delivery Available,1,1,1.0,240,22.0,8.0,,69756.0,401.0,https://tinyhouselistings.com/listings/functional-tiny-house
24 ft tiny house shell,4500,"Dickson, Tennessee, United States",Tiny House,Mobile,Square Feet,2,0,1.0,220,,,,30447.0,64.0,https://tinyhouselistings.com/listings/dickson-tn-12-24-ft-tiny-house-shell
Priced to sale fast..,25000,"Calhan, Colorado, United States",Tiny House,Mobile,Square Feet,1,0,1.0,420,,,,15917.0,31.0,https://tinyhouselistings.com/listings/calhan-co-12-custom-built-10-x-50-mobile
"Utterly Charming Tiny House, As Seen on HGTV! for SALE!!!!!",30000,"Saint Petersburg, Florida, United States",Tiny House,Mobile,Square Feet,0,1,1.0,210,,,,67278.0,221.0,https://tinyhouselistings.com/listings/st-petersburg-florida-12-utterly-charming-tiny-house-as-seen-on-hgtv-for-sale
Must Go!!,15000,", Vermont, United States",Tiny House,Mobile,Square Feet,2,0,1.0,250,,,,25153.0,73.0,https://tinyhouselistings.com/listings/brandon-vermont-12-hanging-with-vermont-derek
24x8 tiny house for sale,35000,"Clute, Texas, United States",Tiny House,Mobile,Square Feet,1,0,1.0,326,,,,22845.0,80.0,https://tinyhouselistings.com/listings/1438-east-kyle-road-clute-tx-united-states-12-24x8-tiny-house-for-sale-4
Professionally crafted tiny house SHELL,24999,"Wilsonville, Oregon, United States",Tiny House,Mobile,Square Feet,0,1,1.0,300,,,,57745.0,110.0,https://tinyhouselistings.com/listings/wilsonville-oregon-12-professionally-crafted-tiny-house-shell
5th Wheel Tiny House For Sale,42500,"Webster, New York, United States",Tiny House,Mobile,Square Feet,1,0,,288,,,,19693.0,37.0,https://tinyhouselistings.com/listings/webster-ny-12-5th-wheel-tiny-house-for-sale
Tiny House at the LCCTC,49900,"Ephrata, Pennsylvania, United States",Tiny House,Mobile,Square Feet,2,0,1.0,308,,,,64073.0,125.0,https://tinyhouselistings.com/listings/ephrata-pa-12-tiny-house-at-the-lcctc
Tiny House For Sale,47000,"Ashland, Oregon, United States",Tiny House,Mobile,Square Feet,0,1,1.0,200,,,,14462.0,22.0,https://tinyhouselistings.com/listings/2253-rogue-valley-hwy-99-n-ashland-or-97520-usa-12-tiny-house-for-sale
Tiny house for sale,50000,"Cookeville, Tennessee, United States",Tiny House,Mobile,Square Feet,0,1,1.0,250,,,,19461.0,95.0,https://tinyhouselistings.com/listings/cookeville-tennessee-12-tiny-house-for-sale
Brand New Tiny House for Sale,20000,", United Kingdom",Tiny House,Mobile,Square Feet,0,1,1.0,400,,,,19152.0,145.0,https://tinyhouselistings.com/listings/epping-forest-london-england-12-brand-new-tiny-house-for-sale
The Brazos,40000,"Corpus Christi, Texas, United States",Tiny House,Mobile,Square Feet,0,1,1.0,240,,,,20856.0,72.0,https://tinyhouselistings.com/listings/corpus-christi-texas-12-south-texas-tiny-homes-the-brazos
Hampton Style Tiny House Shell,35000,", Queensland, Australia",Tiny House,Mobile,Square Feet,0,1,1.0,215,,,,6479.0,24.0,https://tinyhouselistings.com/listings/sunshine-coast-australia-12-tiny-hampton-aussie-tiny-houses-australia-hampton-style-tiny-house-shell
Tiny House Caboose,34500,"Livermore, Colorado, United States",Tiny House,Mobile,Square Feet,2,0,1.0,240,,,,27153.0,141.0,https://tinyhouselistings.com/listings/livermore-colorado-12-tiny-house-caboose
Tiny house for sale in the RVA,13950,", Virginia, United States",Tiny House,Mobile,Square Feet,1,0,1.0,320,,,,41719.0,89.0,https://tinyhouselistings.com/listings/chesterfield-virginia-12-tiny-house-for-sale-in-the-rva
Tiny Home Shell,24000,"Denver, Colorado, United States",Tiny House,Mobile,Square Feet,1,0,1.0,280,,,,31044.0,77.0,https://tinyhouselistings.com/listings/denver-12-tiny-home-shell
22' Tiny House SHELL - Make Into Office / Break Room / Tiny Home / Rec Room / Extra Space,21500,"Chico, California, United States",Tiny House,Mobile,Square Feet,0,1,1.0,280,,,,23639.0,69.0,https://tinyhouselistings.com/listings/chico-ca-12-22-tiny-house-shell-make-into-office-break-room-tiny-home-rec-room-extra-space
Tiny Home With Custom Features,45000,"Vancouver, British Columbia, Canada",Tiny House,Mobile,Square Feet,2,0,1.0,300,,,,21100.0,131.0,https://tinyhouselistings.com/listings/vancouver-bc-canada-12-tiny-home-with-custom-features
2004 Coachmen Liberty Edition RV Class A 30 Foot Great Tiny Home,12000,", United States",Tiny House,Mobile,Square Feet,1,0,1.0,350,,,,6253.0,170.0,https://tinyhouselistings.com/listings/london-uk-15-tiny-timber-chalet-for-sale-in-the-uk
Solar Powered Tiny House on Wheels,40000,"Castle Rock, Colorado, United States",Tiny House,Mobile,Square Feet,0,1,1.0,250,,,,80561.0,250.0,https://tinyhouselistings.com/listings/castle-rock-colorado-usa-12-solar-powered-tiny-house-on-wheels-2-3-7-2-10
"Adorable, Simple Tiny Home!",8900,"Douglas, Georgia, United States",Tiny House,Mobile,Square Feet,1,0,1.0,200,,,,43312.0,133.0,https://tinyhouselistings.com/listings/douglas-ga-12-adorable-simple-tiny-home
"Blue adorable, simple tiny home!",4900,"Douglas, Georgia, United States",Tiny House,Mobile,Square Feet,0,1,1.0,200,,,,28853.0,164.0,https://tinyhouselistings.com/listings/douglas-ga-12-blue-adorable-simple-tiny-home-3
Cottage Tiny House! shiplap!,39999,"Nederland, Texas, United States",Tiny House,Mobile,Square Feet,0,1,,239,,,,25690.0,175.0,https://tinyhouselistings.com/listings/nederland-tx-77627-12-cottage-tiny-house-shiplap
As Seen on HGTV! Tiny House!,30000,"Saint Petersburg, Florida, United States",Tiny House,Mobile,Square Feet,1,0,1.0,210,,,,114982.0,286.0,https://tinyhouselistings.com/listings/st-petersburg-florida-12-as-seen-on-hgtv-tiny-house
Sanford Tiny house,50000,"Sanford, North Carolina, United States",Tiny House,Mobile,Square Feet,1,0,1.0,384,,,,40697.0,163.0,https://tinyhouselistings.com/listings/sanfordnc-12-sanford-tiny-house
Tiny Home Bluebird Bus,14500,"Bozeman, Montana, United States",Tiny House,Mobile,Square Feet,1,0,1.0,256,,,,24348.0,70.0,https://tinyhouselistings.com/listings/bozeman-mt-gallatin-12-tiny-home-bluebird-bus
"Affordable, 29' long bright and airy home.",11200,"Palmer, Massachusetts, United States",Tiny House,Mobile,Used,2,0,1.0,210,29.0,7.98,,80788.0,265.0,https://tinyhouselistings.com/listings/framingham-ma-12-converted-off-grid-capable-school-bus-motorhome-with-excellent-indoor-air-quality
Tiny House Park Model Can Be Moved,30000,"Florissant, Colorado, United States",Tiny House,Mobile,Square Feet,1,0,1.0,400,,,,14343.0,21.0,https://tinyhouselistings.com/listings/florissant-colorado-12-tiny-house-park-model-can-be-moved
Custom construction just completed ~ New reduced price!,47900,"Milwaukie, Oregon, United States",Tiny House,Mobile,Square Feet,0,1,1.0,300,,,,22488.0,101.0,https://tinyhouselistings.com/listings/milwaukie-or-12-custom-construction-just-completed
34' Avion Classic,13500,"Breaux Bridge, Louisiana, United States",Tiny House,Mobile,Square Feet,1,0,1.0,250,,,,19537.0,68.0,https://tinyhouselistings.com/listings/breaux-bridgela-12-34-avion-classic
Gabe Thomas,19500,"Sandy, Oregon, United States",Tiny House,Mobile,Square Feet,0,1,0.0,235,,,,25382.0,89.0,https://tinyhouselistings.com/listings/sandy-oregon-12-gabe-thomas
Park Model For Sale,29900,"Black River Falls, Wisconsin, United States",Tiny House,Mobile,Square Feet,1,0,1.0,388,,,,11514.0,41.0,https://tinyhouselistings.com/listings/black-river-falls-wi-usa-12-park-model-for-sale
"Cozy, Tiny Cabin",49900,"Colorado Springs, Colorado, United States",Tiny House,Mobile,Square Feet,0,1,1.0,208,,,,35765.0,91.0,https://tinyhouselistings.com/listings/colorado-springs-co-12-cozy-tiny-cabin
1976 Converted International School Bus,3800,"Montgomery, Texas, United States",Tiny House,Mobile,Square Feet,3,0,1.0,500,,,,21056.0,89.0,https://tinyhouselistings.com/listings/montgomery-texas-12-1976-converted-international-school-bus
34' Gypsy Trailer,32000,"Naples, Florida, United States",Tiny House,Mobile,Square Feet,1,0,1.0,238,,,,26094.0,103.0,https://tinyhouselistings.com/listings/naples-fl-12-34-gypsy-trailer
26′ x 10′ west coast classic tiny house,50000,"Squamish, British Columbia, Canada",Tiny House,Mobile,Square Feet,0,1,1.0,360,,,,15048.0,63.0,https://tinyhouselistings.com/listings/26%25e2%2580%25b2-x-10%25e2%2580%25b2-west-coast-classic-tiny-housetimber-wolf-homes-ltd
8x32 Tiny House Conversion on Wheels,21500,"West Point, Georgia, United States",Tiny House,Mobile,Square Feet,1,0,1.0,256,,,,35734.0,213.0,https://tinyhouselistings.com/listings/opelika-al-12-8x32-tiny-house-on-wheels-conversion
20x8' tiny house with 2 lofts and 5x8ft deck,24000,", Arizona, United States",Tiny House,Mobile,Square Feet,0,1,1.0,258,,,,32232.0,149.0,https://tinyhouselistings.com/listings/arizona-12-20x8-with-2-lofts-and-5x8ft-deck
"Tiny House, Cozy Cabin",35000,"Smithville, Ontario, Canada",Tiny House,Mobile,Square Feet,0,1,1.0,230,,,,14482.0,19.0,https://tinyhouselistings.com/listings/smithville-on-12-tiny-house-cozy-cabin
Titan Tiny House on wheels!,50000,"Madera, California, United States",Tiny House,Mobile,Square Feet,2,0,1.0,316,,,,63004.0,213.0,https://tinyhouselistings.com/listings/madera-ca-12-titan-tiny-house-on-wheels
2 Tiny Home Shells For Sale-Redmac Tiny Homes,14999,"Lafayette, Indiana, United States",Tiny House,Mobile,Square Feet,0,1,1.0,238,,,,8471.0,19.0,https://tinyhouselistings.com/listings/lafayette-in-usa-12-2-tiny-home-shells-for-sale-redmac-tiny-homes
Tiki Beach Project 454 Chevy,16500,"Tampa, Florida, United States",Tiny House,Mobile,Square Feet,1,0,1.0,240,,,,18695.0,37.0,https://tinyhouselistings.com/listings/tampa-12-tiki-beach-project-454-chevy-2
Tinyvegans,20000,"Lake Geneva, Wisconsin, United States",Tiny House,Mobile,Square Feet,3,0,1.0,400,,,,51108.0,130.0,https://tinyhouselistings.com/listings/lake-geneva-ei-12-tinyvegans
Bus motorhome for Sale,15000,"San Rafael, California, United States",Tiny House,Mobile,Square Feet,1,0,1.0,266,,,,21755.0,86.0,https://tinyhouselistings.com/listings/san-rafael-california-12-bus-motorhome-for-sale
Cedar Shake Tiny House Shell,25000,"San Diego, California, United States",Tiny House,Mobile,Square Feet,1,0,1.0,205,,,,58927.0,163.0,https://tinyhouselistings.com/listings/san-diego-ca-12-cedar-shake-tiny-house-shell
Tiny Cottage on wheels-price reduced!,39900,"South Pasadena, California, United States",Tiny House,Mobile,Square Feet,1,0,1.0,240,,,,62752.0,189.0,https://tinyhouselistings.com/listings/south-pasadena-california-12-tiny-cottage-on-wheels-price-reduced
White river tiny homes,24000,"Mountain Home, Arkansas, United States",Tiny House,Mobile,Square Feet,0,1,1.0,200,,,,20168.0,54.0,https://tinyhouselistings.com/listings/northern-arkansas-mountain-home-12-white-river-tiny-homes
Perfect 1 Bedroom Tiny House,22000,"Greenville, Texas, United States",Tiny House,Mobile,Square Feet,1,0,1.0,340,,,,13497.0,133.0,https://tinyhouselistings.com/listings/greenville-tx-12-perfect-1-bedroom-tiny-house
teddy james,15995,"Lugoff, South Carolina, United States",Tiny House,Mobile,Square Feet,1,0,0.0,250,,,,18261.0,7.0,https://tinyhouselistings.com/listings/lugoff-sc-12-teddy-james
2009 Forest River Cardinal 3450LX 40 ft.,29999,"Pearl River, Louisiana, United States",Tiny House,Mobile,Square Feet,1,0,1.0,400,,,,24598.0,111.0,https://tinyhouselistings.com/listings/pearl-river-louisiana-12-2009-forest-river-cardinal-3450lx-40-ft-2
Maegon Mayes,15000,"Mountain View, California, United States",Tiny House,Mobile,Square Feet,0,1,1.0,216,,,,48940.0,76.0,https://tinyhouselistings.com/listings/mountain-view-12-maegon-mayes
1962 Ford High Top Bus Conversion,15000,"Eureka, Montana, United States",Tiny House,Mobile,Square Feet,0,1,0.0,200,,,,8731.0,16.0,https://tinyhouselistings.com/listings/eureka-montana-12-1962-ford-high-top-bus-conversion
Big Tiny Potential,2500,"Sadieville, Kentucky, United States",Tiny House,Mobile,Square Feet,1,0,0.0,200,,,,19302.0,71.0,https://tinyhouselistings.com/listings/louisville-kentucky-12-suzette
Show Model Tiny House,34900,"Birmingham, Alabama, United States",Tiny House,Mobile,Square Feet,0,1,1.0,200,,,,11811.0,47.0,https://tinyhouselistings.com/listings/birmingham-al-12-show-model-tiny-house
Updated! Tiny House with wood stove,44999,"Fort Collins, Colorado, United States",Tiny House,Mobile,Square Feet,0,1,1.0,208,,,,10346.0,40.0,https://tinyhouselistings.com/listings/colorado-springs-12-tiny-house-on-the-prairie
THOW Shell,14999,"Lafayette, Indiana, United States",Tiny House,Mobile,Square Feet,0,1,0.0,238,,,,7573.0,18.0,https://tinyhouselistings.com/listings/lafayette-indiana-12-thow-shell
SoulCosmos,20000,"Chadds Ford, Pennsylvania, United States",Tiny House,Mobile,Square Feet,0,1,0.0,300,,,,52523.0,46.0,https://tinyhouselistings.com/listings/chadds-ford-pa-12-soulcosmos
Elizabeth Hahn,28500,"Bend, Oregon, United States",Tiny House,Mobile,Square Feet,0,1,1.0,200,,,,18046.0,103.0,https://tinyhouselistings.com/listings/bend-or-12-elizabeth-hahn
20' Tinyhouse,22000,"Westminster, Colorado, United States",Tiny House,Mobile,Square Feet,2,0,1.0,254,,,,23191.0,17.0,https://tinyhouselistings.com/listings/westminster-colorado-12-20-tinyhouse
Best price tiny house,25000,"Huntsville, Alabama, United States",Tiny House,Mobile,Square Feet,0,1,1.0,230,,,,19851.0,170.0,https://tinyhouselistings.com/listings/huntsville-al-12-best-price-tiny-house
Tiny house 8x20,25000,"Huntsville, Alabama, United States",Tiny House,Mobile,Square Feet,0,1,1.0,230,,,,15137.0,95.0,https://tinyhouselistings.com/listings/huntsville-alabama-12-tiny-house-8x20
"""Spring Creek"" Tiny House",32000,"Douglas, Georgia, United States",Tiny House,Mobile,Square Feet,0,1,1.0,220,,,,26557.0,91.0,https://tinyhouselistings.com/listings/douglas-ga-12-blackstone-builders
David,49500,"Fair Play, South Carolina, United States",Tiny House,Mobile,Square Feet,2,0,1.0,399,,,,43521.0,165.0,https://tinyhouselistings.com/listings/fair-play-sc-12-david
Preston,7000,"Denton, Nebraska, United States",Tiny House,Mobile,Square Feet,0,1,1.0,256,,,,24091.0,68.0,https://tinyhouselistings.com/listings/denton-ne-12-preston
24' Tiny House Shell - still under construction,18500,"Sandy, Oregon, United States",Tiny House,Mobile,Square Feet,0,1,0.0,235,,,,11281.0,65.0,https://tinyhouselistings.com/listings/sandy-or-12-24-tiny-house-shell-still-under-construction
20X8.5 Tiny house shell,15999,"Lafayette, Indiana, United States",Tiny House,Mobile,Square Feet,0,1,0.0,200,,,,6583.0,7.0,https://tinyhouselistings.com/listings/lafayette-indiana-12-20x8-5-tiny-house-shell
Tiny Cabin on Wheels,50000,"Helena, Montana, United States",Tiny House,Mobile,Square Feet,2,0,1.0,370,,,,19606.0,147.0,https://tinyhouselistings.com/listings/helena-montana-usa-12-tiny-cabin-on-wheels-2
Florida Tiny House,45000,", Florida, United States",Tiny House,Mobile,Square Feet,0,1,1.0,230,,,,25936.0,38.0,https://tinyhouselistings.com/listings/st-lucie-county-florida-12-florida-tiny-house
New Tiny House,40000,"Corvallis, Oregon, United States",Tiny House,Mobile,Square Feet,0,1,1.0,230,,,,29519.0,179.0,https://tinyhouselistings.com/listings/corvallis-or-12-new-tiny-house
Tiny Cottage on Wheels,45000,"South Pasadena, California, United States",Tiny House,Mobile,Square Feet,1,0,1.0,240,,,,14781.0,37.0,https://tinyhouselistings.com/listings/south-pasadena-california-12-tiny-cottage-on-wheels
AzBelle~,1500,"Tonopah, Arizona, United States",Tiny House,Mobile,Square Feet,1,0,1.0,288,,,,18762.0,33.0,https://tinyhouselistings.com/listings/tonopah-az-usa-12-azbelle
24' Tiny House Shell- will be completed by Nov. 20th,18500,"Sandy, Oregon, United States",Tiny House,Mobile,Square Feet,0,1,0.0,200,,,,6455.0,24.0,https://tinyhouselistings.com/listings/sandy-or-12-24-tiny-house-shell-will-be-completed-by-nov-20th
Tiny House For Sale,49500,"Dallas, Pennsylvania, United States",Tiny House,Mobile,Square Feet,0,1,1.0,320,,,,25624.0,42.0,https://tinyhouselistings.com/listings/dallas-pa-12-tiny-house-for-sale
Rustic - Log siding - on Wheels,32500,"Hattiesburg, Mississippi, United States",Tiny House,Mobile,Square Feet,1,2,1.0,384,40.0,10.0,,53584.0,159.0,https://tinyhouselistings.com/listings/rustic-log-siding-on-wheels
Bring the Outdoors Inside with this 270 Sq. Ft. Beauty!,39000,"Ankeny, Iowa, United States",Tiny House,Mobile,Square Feet,1,0,1.0,270,,,,27424.0,25.0,https://tinyhouselistings.com/listings/ankeny-12-bring-the-outdoors-inside-with-this-270-sq-ft-beauty
TWO Tiny Mobile Retail Units,42000,"Portland, Oregon, United States",Tiny House,Mobile,Square Feet,1,0,1.0,340,,,,33474.0,147.0,https://tinyhouselistings.com/listings/portland-oregon-12-two-tiny-mobile-retail-units
Cgeri,35000,"Olympia, Washington, United States",Tiny House,Mobile,Square Feet,2,0,1.0,275,,,,33443.0,95.0,https://tinyhouselistings.com/listings/olympia-washington-12-cgeri
Fishing Cabin,15000,"Williams, Arizona, United States",Tiny House,Mobile,Square Feet,1,0,1.0,200,,,,27009.0,108.0,https://tinyhouselistings.com/listings/williams-arizona-12-fishing-cabin
Goose Neck Mobile,35000,"Scott City, Kansas, United States",Tiny House,Mobile,Square Feet,1,0,1.0,410,,,,11908.0,3.0,https://tinyhouselistings.com/listings/scott-citykansas-12-goose-neck-mobile
DIY Interior Tiny Houses,15000,"Ridgway, Colorado, United States",Tiny House,Mobile,Square Feet,1,0,0.0,200,,,,21432.0,83.0,https://tinyhouselistings.com/listings/ridgway-colorado-12-diy-interior-tiny-houses
"reduced 15,000!!!!!!!!!!!",44900,"Bedford, Virginia, United States",Tiny House,Mobile,Square Feet,1,0,1.0,217,,,,48729.0,95.0,https://tinyhouselistings.com/listings/bedford-va-12-new-model
Brand New Tiny House,40000,"Concord, North Carolina, United States",Tiny House,Mobile,Square Feet,0,1,1.0,288,,,,51557.0,251.0,https://tinyhouselistings.com/listings/concord-nc-12-brand-new-tiny-house-2
Tinyvegans,20000,"Lake Geneva, Wisconsin, United States",Tiny House,Mobile,Square Feet,3,0,1.0,400,,,,16020.0,65.0,https://tinyhouselistings.com/listings/lake-geneva-ei-12-tinyvegans-2
1956 Anderson 35 ft,5600,"Bend, Oregon, United States",Tiny House,Mobile,Square Feet,1,0,0.0,245,,,,12384.0,59.0,https://tinyhouselistings.com/listings/bend-oregon-usa-12-1956-anderson-35-ft
Tiny house,42000,"Bryan, Texas, United States",Tiny House,Mobile,Square Feet,1,0,1.0,400,,,,10237.0,47.0,https://tinyhouselistings.com/listings/bryan-12-tiny-house
Tiny House Plus Loft,35000,"Jewett, New York, United States",Tiny House,Mobile,Square Feet,0,1,1.0,200,,,,20988.0,41.0,https://tinyhouselistings.com/listings/tiny-house-plus-loft
Metal Shell Tiny House on wheels For Sale,25000,"Coarsegold, California, United States",Tiny House,Mobile,Square Feet,1,0,1.0,220,,,,23033.0,41.0,https://tinyhouselistings.com/listings/coarsegold-california-12-ownerbuilder-2-2-2-2
Tiny cabin for sale,38000,"San Diego, California, United States",Tiny House,Mobile,Square Feet,2,0,1.0,300,,,,33240.0,61.0,https://tinyhouselistings.com/listings/tiny-cabin-for-sale-2
Tiny Cabin,24000,"Drake, Colorado, United States",Tiny House,Mobile,Square Feet,0,1,0.0,280,,,,22080.0,33.0,https://tinyhouselistings.com/listings/drake-co-12-tiny-cabin
Big tiny Home,50000,"Morrow, Ohio, United States",Park Model,Mobile,Dual Lofts,1,2,1.0,500,,,,26172.0,114.0,https://tinyhouselistings.com/listings/morrowohio-12-big-tiny-home
Arizona Gem,32000,"Tucson, Arizona, United States",Tiny House,Mobile,Square Feet,0,1,1.0,200,,,,38604.0,50.0,https://tinyhouselistings.com/listings/tucson-az-united-states-12-arizona-gem
240sqft ATTN. ALL CREATIVES,1900,"Columbia, South Carolina, United States",Tiny House,Mobile,Square Feet,0,1,0.0,240,,,,20757.0,59.0,https://tinyhouselistings.com/listings/columbia-sc-15-david-must-sell
